;roll_start;roll_end
0;2018-01-01 00:01:07;2018-01-01 00:04:04
1;2018-01-01 00:05:59;2018-01-01 00:09:04
2;2018-01-01 00:10:43;2018-01-01 00:13:57
3;2018-01-01 00:16:04;2018-01-01 00:19:12
4;2018-01-01 00:21:14;2018-01-01 00:23:57
5;2018-01-01 00:25:49;2018-01-01 00:28:48
6;2018-01-01 00:30:34;2018-01-01 00:34:06
7;2018-01-01 00:36:04;2018-01-01 00:38:54
8;2018-01-01 00:40:46;2018-01-01 00:43:52
9;2018-01-01 00:46:00;2018-01-01 00:48:53
10;2018-01-01 00:50:43;2018-01-01 00:53:58
11;2018-01-01 00:56:05;2018-01-01 00:58:57
12;2018-01-01 01:01:04;2018-01-01 01:04:20
13;2018-01-01 01:06:01;2018-01-01 01:08:58
14;2018-01-01 01:10:58;2018-01-01 01:14:03
15;2018-01-01 01:15:54;2018-01-01 01:19:15
16;2018-01-01 01:20:57;2018-01-01 01:23:54
17;2018-01-01 01:26:01;2018-01-01 01:29:08
18;2018-01-01 01:31:01;2018-01-01 01:34:05
19;2018-01-01 01:35:47;2018-01-01 01:38:46
20;2018-01-01 01:40:44;2018-01-01 01:44:02
21;2018-01-01 01:45:40;2018-01-01 01:48:57
22;2018-01-01 01:51:17;2018-01-01 01:53:54
23;2018-01-01 01:56:04;2018-01-01 01:59:16
24;2018-01-01 02:01:08;2018-01-01 02:04:07
25;2018-01-01 02:05:51;2018-01-01 02:08:44
26;2018-01-01 02:10:55;2018-01-01 02:14:17
27;2018-01-01 02:15:55;2018-01-01 02:18:44
28;2018-01-01 02:20:46;2018-01-01 02:24:00
29;2018-01-01 02:26:12;2018-01-01 02:28:50
30;2018-01-01 02:30:53;2018-01-01 02:33:39
31;2018-01-01 02:36:11;2018-01-01 02:39:01
32;2018-01-01 02:41:09;2018-01-01 02:43:59
33;2018-01-01 02:46:04;2018-01-01 02:49:04
34;2018-01-01 02:50:39;2018-01-01 02:54:05
35;2018-01-01 02:55:58;2018-01-01 02:58:56
36;2018-01-01 03:01:12;2018-01-01 03:03:50
37;2018-01-01 03:05:58;2018-01-01 03:09:00
38;2018-01-01 03:10:57;2018-01-01 03:13:57
39;2018-01-01 03:16:03;2018-01-01 03:19:08
40;2018-01-01 03:20:44;2018-01-01 03:23:59
41;2018-01-01 03:25:56;2018-01-01 03:28:53
42;2018-01-01 03:31:01;2018-01-01 03:34:17
43;2018-01-01 03:35:44;2018-01-01 03:38:55
44;2018-01-01 03:41:08;2018-01-01 03:44:03
45;2018-01-01 03:46:00;2018-01-01 03:48:59
46;2018-01-01 03:51:07;2018-01-01 03:53:59
47;2018-01-01 03:56:22;2018-01-01 03:58:56
